Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
High Roller (Valleyfair),Valleyfair,Operating,Rauenhorst Corporation,1976,1976-01-01,50.0
Jet Star 2 (Lagoon),Lagoon Amusement Park,Operating,Anton Schwarzkopf,1976,1976-01-01,
Jumbo Jet (Morey's Piers),Morey's Piers,Removed,Anton Schwarzkopf,1976,1976-01-01,50.0
Lil' Thunder,Six Flags Great Adventure,Removed,Molina & Sons,1976,1976-01-01,5.0
Mild Thing,Valleyfair,Removed,Allan Herschell Company,1976,1976-01-01,
Python (Busch Gardens Tampa Bay),Busch Gardens Tampa Bay,Removed,Arrow Development,1976,1976-07-01,40.0
The New Revolution (roller coaster),Six Flags Magic Mountain,Operating,Anton Schwarzkopf,1976,1976-05-08,55.0
Screamin' Eagle,Six Flags St. Louis,Operating,Philadelphia Toboggan Coasters,1976,1976-04-10,62.0
Texas Cyclone,Six Flags AstroWorld,Removed,Frontier Construction Company,1976,1976-06-12,
Thunder Road (roller coaster),Other,Removed,Philadelphia Toboggan Coasters,1976,1976-04-03,58.0
Whizzer (roller coaster),Other,,Anton Schwarzkopf,1976,,42.0
Double Loop (Geauga Lake),Geauga Lake,Removed,Arrow Dynamics,1977,1977-01-01,36.0
Screamin' Demon,Other,,Arrow Dynamics,1977,,45.0
Shuttle Loop,Other,Discontinued,Anton Schwarzkopf,1977,,
SooperDooperLooper,Hersheypark,Operating,Anton Schwarzkopf,1977,1977-07-04,45.0
Space Mountain (Disneyland),Disneyland,Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],1977,1977-05-27,35.0
Steeplechase (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1977,1977-01-01,
Arkansas Twister,Magic Springs and Crystal Falls,Operating,Michael Black and Associates,1978,1978-01-01,50.0
Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,1978,2015-05-23,57.0
Gemini (roller coaster),Other,Operating,Arrow Dynamics,1978,1978-06-17,60.0
Greezed Lightnin' (Six Flags Astroworld),Other,Discontinued,Anton Schwarzkopf,1978,,
Lightnin' Loops,Other,,Arrow Development,1978,,45.0
Loch Ness Monster (roller coaster),Busch Gardens Williamsburg,Operating,Arrow Development,1978,1978-06-06,60.0
Montezooma's Revenge,Knott's Berry Farm,Operating,Anton Schwarzkopf,1978,1978-05-21,55.0
Schweizer Bobbahn,Heide Park,Operating,Mack Rides,1978,1978-08-19,32.9
Shock Wave (Six Flags Over Texas),Six Flags Over Texas,Operating,Anton Schwarzkopf,1978,1978-04-22,60.0
The Riddler Mindbender,Six Flags Over Georgia,Operating,Anton Schwarzkopf,1978,1978-03-31,50.0
Tornado (Adventureland),Adventureland (Iowa),Operating,Frontier Construction Company,1978,1978-07-04,58.0
Wild Rider,Six Flags Great Adventure,Removed,Anton Schwarzkopf,1978,1978-01-01,
The Beast (roller coaster),Kings Island,Operating,Kings Island,1979,1979-04-14,64.8
Big Thunder Mountain Railroad,Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1979,,35.0
Big Thunder Mountain Railroad (Disneyland),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1979,,35.0
Corkscrew (Michigan's Adventure),"Muskegon, Michigan, United States",Operating,,1979,,
Momonga Standing and Loop Coaster,Yomiuriland,Removed,TOGO,1979,1979-01-01,46.6
Revolution (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Arrow Development,1979,1979-01-01,45.0
Rolling Thunder (roller coaster),Other,Removed,William Cobb & Associates,1979,1979-01-01,56.0
WildCat (Cedar Point),Cedar Point,Removed,Anton Schwarzkopf,1979,1979-01-01,40.0
Wilderness Run,Cedar Point,Operating,Intamin,1979,1979-01-01,6.0
Carolina Cyclone,Carowinds,Operating,Arrow Dynamics,1980,1980-03-22,41.0
Corkscrew (Alton Towers),Alton Towers,Removed,Vekoma,1980,1980-04-04,40.0
Corkscrew (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1980,1980-01-01,50.0
Judge Roy Scream,Six Flags Over Texas,Operating,William Cobb & Associates,1980,1980-03-01,45.0
Orient Express (roller coaster),Worlds of Fun,Removed,Arrow Dynamics,1980,1980-04-04,50.0
Scorpion (roller coaster),Busch Gardens Tampa Bay,Operating,Anton Schwarzkopf,1980,1980-05-16,41.0
Shuttle Loop (Nagashima Spa Land),Nagashima Spa Land,Operating,Anton Schwarzkopf,1980,1980-01-01,57.0
The Beastie (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,1980,1972-01-01,35.0
American Eagle (roller coaster),Other,Operating,Intamin,1981,1981-05-23,66.0
The Bat (Kings Island; opened 1981),Kings Island,Removed,Arrow Development,1981,1981-04-26,34.0
Colossus (Playcenter São Paulo),Other,,Anton Schwarzkopf,1981,,52.0
Dragon Fyre,Canada's Wonderland,Operating,Arrow Dynamics,1981,1981-01-01,49.7
Ghoster Coaster (Canada's Wonderland),Canada's Wonderland,Operating,Taft Broadcasting,1981,1981-05-23,34.8
Hoot N Holler,Six Flags Darien Lake,Operating,Zierer,1981,1981-01-01,16.2
Mighty Canadian Minebuster,Canada's Wonderland,Operating,Canada's Wonderland,1981,1981-01-01,55.9
Python (Efteling),Efteling,Operating,Vekoma,1981,1981-04-12,46.6
Super Manège,La Ronde,Removed,Vekoma,1981,1981-01-01,39.8
Thunder Run (Canada's Wonderland),Canada's Wonderland,Operating,Mack Rides,1981,1981-05-23,39.8
Wilde Beast,Canada's Wonderland,Operating,Taft Broadcasting Company,1981,1981-01-01,55.9
Grizzly (Kings Dominion),Kings Dominion,Operating,Taft Broadcasting Company,1982,1982-03-27,51.0
Looping Star (Nagashima Spa Land),Nagashima Spa Land,Operating,Anton Schwarzkopf,1982,1982-01-01,40.0
Sea Viper (roller coaster),Sea World,Removed,Arrow Dynamics,1982,1982-09-17,43.5
Thrillseeker (roller coaster),Sea World,Removed,S.D.C.,1982,1982-01-01,40.4
Thunderbolt (Dreamworld),Dreamworld,Removed,Sanoyas Hishino Meisho,1982,1982-04-01,54.1
Viper (Six Flags Darien Lake),Six Flags Darien Lake,Operating,Arrow Dynamics,1982,1982-05-29,50.0
Vortex (Calaway Park),Calaway Park,Operating,Arrow Dynamics,1982,1982-01-01,
Alpen Blitz (Parque de la Ciudad),"Argentina, Villa Soldati, Buenos Aires",,,1983,,
Beastie (Alton Towers),Alton Towers,Removed,Pinfari,1983,1983-01-01,17.0
Black Hole (roller coaster),Alton Towers,Removed,Anton Schwarzkopf,1983,1983-01-01,32.0
Colossus the Fire Dragon,Lagoon Amusement Park,Operating,Anton Schwarzkopf,1983,1983-01-01,55.0
Cyclone (Six Flags New England),Six Flags New England,Operating,Rocky Mountain Construction,1983,2015-05-24,55.0
Dragon Mountain,Marineland of Canada,Operating,Arrow Huss,1983,1983-07-16,50.0
Flitzer,Morey's Piers,Removed,Zierer,1983,1983-01-01,
Moonsault Scramble,Fuji-Q Highland,Removed,Meisho Amusement Machines,1983,1983-06-24,55.9
Sky Screamer (Six Flags AstroWorld),Six Flags AstroWorld,,Intamin,1983,1983-01-01,
Space Mountain (Tokyo Disneyland),Other,Operating,,1983,1983-04-15,30.0
Timberline Twister,"8039 Beach BoulevardBuena Park, California 90620, U.S.",,,1983,,
Alpenexpress Enzian,Europa-Park,Operating,Mack Rides,1984,1984-01-01,28.0
Alpine Bobsled,Other,,Intamin,1984,,35.0
Astro Storm,Other,,Zierer,1984,,37.0
Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,Removed,Arrow Dynamics,1984,1984-06-15,48.0
Boomerang (roller coaster),Other,In Production,Vekoma,1984,,47.0
Flying Fish (roller coaster),Thorpe Park,Operating,Mack Rides,1984,1984-01-01,16.8
King Cobra (roller coaster),Kings Island,Removed,TOGO,1984,1984-04-22,50.0
Sea Serpent (Morey's Piers),Morey's Piers,Operating,Vekoma,1984,1984-01-01,47.0
Steamin' Demon,Great Escape,Operating,Arrow Dynamics,1984,1984-05-26,45.0
Tig'rr Coaster,Indiana Beach,Operating,Anton Schwarzkopf,1984,1984-01-01,31.1
